name,refractive_index,absorption_length,scattering_length,density,abs(r_i_error),eta,k,abs(eta_error),abs(k_error)
aluminum,0.09216,1000000.0,128.18791946308724,2.7,0.0,0.09216,1.9217,0,0
copper,0.9733,0.05,128.18791946308724,8.96,0.0,0.972,1.5004,0,0
killing material,1.0,100000000.0,128.18791946308724,0.0,0.0,0.0,0.0,0,0
liquid xenon,1.69,100000000000000.0,128.18791946308724,2.942,0.0,0.0,0.0,0,0
silica,1.644,1000000.0,128.18791946308724,2.202,0.0,0.0,0.0,0,0
silicon,0.682,1000000.0,128.18791946308724,2.329,0.0,0.83987,1.9019,0,0
steel,1.29,1000000.0,128.18791946308724,7.75,0.0,0.0,0.0,0,0
teflon,0.0,1000000.0,128.18791946308724,7.75,0.0,0.0,0.0,0,0
