Xe_index,PTE
1.65,0.0030512
1.6528571428571428,0.0030484
1.6557142857142857,0.003031
1.6585714285714286,0.00305
1.6614285714285713,0.0030738
1.6642857142857141,0.0030624
1.667142857142857,0.0030684
1.67,0.0030846
1.6728571428571428,0.0030482
1.6757142857142857,0.0030436
1.6785714285714286,0.0030478
1.6814285714285713,0.0030732
1.6842857142857142,0.0030106
1.687142857142857,0.0030578
1.69,0.0030434
1.6928571428571428,0.0030444
1.6957142857142857,0.0030194
1.6985714285714286,0.0030576
1.7014285714285713,0.0030538
1.7042857142857142,0.0030614
1.707142857142857,0.0030496
1.71,0.0030532
1.7128571428571429,0.0030682
1.7157142857142857,0.0030332
1.7185714285714286,0.0030444
1.7214285714285713,0.0030696
1.7242857142857142,0.0030206
1.727142857142857,0.0030804
1.73,0.0030474
1.7328571428571429,0.0030296
1.7357142857142858,0.0030268
1.7385714285714287,0.003072
1.7414285714285713,0.0030276
1.7442857142857142,0.0030468
1.747142857142857,0.0030312
1.75,0.0030056
1.752857142857143,0.0030254
1.7557142857142858,0.0030548
1.7585714285714287,0.0030306
1.7614285714285713,0.0030146
1.7642857142857142,0.0030248
1.7671428571428571,0.0030394
1.77,0.0029958
1.772857142857143,0.0030454
1.7757142857142858,0.0030594
1.7785714285714287,0.0030066
1.7814285714285716,0.0030316
1.7842857142857143,0.003028
1.7871428571428571,0.0030608
1.79,0.0030742
