k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
0.78,2.0364705882352943,0.001479,2.7193749281774296e-05,0.001389,2.635336790620888e-05
0.78,2.058235294117647,0.0014795,2.7198345537918292e-05,0.0013885,2.6348624252510794e-05
0.78,2.08,0.00148,2.7202941017470887e-05,0.0013895,2.6358110706194402e-05
0.7999999999999999,1.71,0.001521,2.7577164466275353e-05,0.0014215,2.665989497353656e-05
0.7999999999999999,1.7317647058823529,0.001516,2.7531799795872408e-05,0.001415,2.6598872156540773e-05
0.7999999999999999,1.7535294117647058,0.0015125,2.75e-05,0.001413,2.6580067720004026e-05
0.7999999999999999,1.775294117647059,0.001506,2.7440845468024487e-05,0.0014085,2.6537709019431196e-05
0.7999999999999999,1.7970588235294118,0.0015015,2.7399817517640514e-05,0.001407,2.6523574419749688e-05
0.7999999999999999,1.8188235294117647,0.0014985,2.737243138634199e-05,0.001405,2.650471656139714e-05
0.7999999999999999,1.8405882352941176,0.0014935,2.7326726843879418e-05,0.0014035,2.649056435789921e-05
0.7999999999999999,1.8623529411764705,0.0014935,2.7326726843879418e-05,0.0014035,2.649056435789921e-05
0.7999999999999999,1.8841176470588235,0.001492,2.7313000567495325e-05,0.0014005,2.6462237244798485e-05
0.7999999999999999,1.9058823529411764,0.0014905,2.7299267389437395e-05,0.001398,2.643860813280457e-05
0.7999999999999999,1.9276470588235295,0.00149,2.729468812791236e-05,0.0013955,2.641495788374458e-05
0.7999999999999999,1.9494117647058824,0.001489,2.7285527299284508e-05,0.001395,2.641022529248851e-05
0.7999999999999999,1.9711764705882353,0.001488,2.727636339397171e-05,0.001395,2.641022529248851e-05
0.7999999999999999,1.9929411764705882,0.001487,2.726719640887196e-05,0.001394,2.6400757564888172e-05
0.7999999999999999,2.014705882352941,0.0014865,2.726261176043117e-05,0.0013935,2.6396022427631024e-05
0.7999999999999999,2.0364705882352943,0.001486,2.725802634087802e-05,0.0013935,2.6396022427631024e-05
0.7999999999999999,2.058235294117647,0.0014875,2.727178028658929e-05,0.001394,2.6400757564888172e-05
0.7999999999999999,2.08,0.001488,2.727636339397171e-05,0.0013935,2.6396022427631024e-05
0.82,1.71,0.0015265,2.762697956708261e-05,0.001423,2.6673957336698278e-05
0.82,1.7317647058823529,0.0015225,2.759075932264279e-05,0.001422,2.6664583251946768e-05
0.82,1.7535294117647058,0.00152,2.7568097504180444e-05,0.0014185,2.6631747971171548e-05
0.82,1.775294117647059,0.0015165,2.753633962602873e-05,0.001415,2.6598872156540773e-05
0.82,1.7970588235294118,0.0015145,2.7518175811634026e-05,0.0014135,2.658477007611689e-05
0.82,1.8188235294117647,0.0015105,2.748181216732259e-05,0.0014105,2.6556543449779004e-05
0.82,1.8405882352941176,0.0015045,2.7427176303804956e-05,0.001408,2.65329983228432e-05
0.82,1.8623529411764705,0.0015035,2.741805974171039e-05,0.0014075,2.652828678976462e-05
0.82,1.8841176470588235,0.0015025,2.7408940147331492e-05,0.0014045,2.65e-05
0.82,1.9058823529411764,0.001499,2.737699764400764e-05,0.001404,2.649528259898354e-05
0.82,1.9276470588235295,0.001499,2.737699764400764e-05,0.001404,2.649528259898354e-05
0.82,1.9494117647058824,0.0014965,2.7354158733179862e-05,0.001403,2.6485845276298054e-05
0.82,1.9711764705882353,0.0014965,2.7354158733179862e-05,0.001402,2.6476404589747452e-05
0.82,1.9929411764705882,0.001496,2.7349588662354686e-05,0.0014015,2.6471682983898096e-05
0.82,2.014705882352941,0.001495,2.7340446228984633e-05,0.001401,2.6466960535732093e-05
0.82,2.0364705882352943,0.0014955,2.7345017827750635e-05,0.001401,2.6466960535732093e-05
0.82,2.058235294117647,0.001496,2.7349588662354686e-05,0.0014005,2.6462237244798485e-05
0.82,2.08,0.0014965,2.7354158733179862e-05,0.001401,2.6466960535732093e-05
0.84,1.71,0.001529,2.764959312539698e-05,0.001424,2.668332812825267e-05
0.84,1.7317647058823529,0.0015265,2.762697956708261e-05,0.0014215,2.665989497353656e-05
0.84,1.7535294117647058,0.0015265,2.762697956708261e-05,0.001423,2.6673957336698278e-05
0.84,1.775294117647059,0.001523,2.7595289453093258e-05,0.0014215,2.665989497353656e-05
0.84,1.7970588235294118,0.0015195,2.756356290467544e-05,0.0014185,2.6631747971171548e-05
