name,refractive_index,absorption_length,scattering_length,density,abs(r_i_error),eta,k,abs(eta_error),abs(k_error)
liquid xenon,1.69,350000000000.0,400,2.942,0.0,0.0,0.0,0,0
copper,0.9733,0.05,400,8.96,0.0,0.972,1.5004,0,0
silicon,0.2,1000000.0,300,2.329,0.0,0.2,0.5,0,0
steel,1.29,100000000.0,1000000.0,7.75,0.0,0.0,0.0,0,0
teflon,0.0,100000000.0,1000000.0,7.75,0.0,0.0,0.0,0,0
silica,1.644,100000000.0,1000000.0,2.202,0.0,0.0,0.0,0,0
aluminum,0.09216,1000000.0,1000000.0,2.7,0.0,0.09216,1.9217,0,0
killing material,1.0,100000000.0,1000000.0,0.0,0.0,0.0,0.0,0
